X;created_at;full_text;likes_count;mentioning_users.0;mentioning_users.1;mentioning_users.2;mentioning_users.3;mentioning_users.4;mentioning_users.5;mentioning_users.6;mentioning_users.7;mentioning_users.8;mentioning_users.9;mentioning_users.10;mentioning_users.11;mentioning_users.12;mentioning_users.13;mentioning_users.14;mentioning_users.15;played_count;quotes_count;replies_count;replying_to.0;replying_to.1;replying_to.2;replying_to.3;replying_to.4;replying_to.5;replying_to.6;replying_to.7;replying_to.8;replying_to.9;replying_to.10;replying_to.11;replying_to.12;replying_to.13;replying_to.14;replying_to.15;replying_to.16;replying_to.17;replying_to.18;replying_to.19;replying_to.20;replying_to.21;replying_to.22;replying_to.23;replying_to.24;replying_to.25;replying_to.26;replying_to.27;replying_to.28;replying_to.29;replying_to.30;replying_to.31;replying_to.32;replying_to.33;replying_to.34;replying_to.35;replying_to.36;replying_to.37;replying_to.38;replying_to.39;replying_to.40;replying_to.41;replying_to.42;replying_to.43;replying_to.44;replying_to.45;replying_to.46;replying_to.47;retweeted_by;retweets_count;tweet_hashtags.0;tweet_hashtags.1;tweet_hashtags.2;tweet_hashtags.3;tweet_hashtags.4;tweet_hashtags.5;tweet_hashtags.6;tweet_hashtags.7;tweet_hashtags.8;tweet_hashtags.9;tweet_hashtags.10;tweet_hashtags.11;tweet_hashtags.12;tweet_hashtags.13;tweet_hashtags.14;tweet_hashtags.15;tweet_hashtags.16;tweet_hashtags.17;tweet_hashtags.18;tweet_hashtags.19;tweet_hashtags.20;tweet_hashtags.21;tweet_hashtags.22;tweet_hashtags.23;tweet_id;tweet_links.0;tweet_links.1;tweet_links.2;tweet_links.3;;user_is_verified;user_name;language;engagement;sentiment_scores;positive;neutral;negative;compound;sentiment_label
118;Thu May 18 18:25:00 +00:00 2023;data gardasil available educate;1;;;;;;;;;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.659264007084155e+18;;;;;;FALSE;b6409b6a;en;3;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
129;Sun Jun 11 12:45:00 +00:00 2023;gardasil;0;a7587ab3;a48203ee;6f4cf129;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.6678756395656645e+18;;;;;;FALSE;7086e2aa;en;0;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
132;Sun Jul 09 12:13:00 +00:00 2023;want justice son suffered mightily merck never told u serious adverse effect possible want accountability acknowledgment theyve done wronghpv gardasil bigpharmachildrenshealthdefenseorgd;0;;;;;;;;;;;;;;;;;0;0;0;cd5448e4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#HPV;#Gardasil;#BigPharma;;;;;;;;;;;;;;;;;;;;;;1.678014389801177e+18;https://childrenshealthdefense.org/defender/noah-foley-wrongful-death-lawsuit-gardasil-vaccine/;;;;;FALSE;0ccf6b6d;en;0;{'neg': 0.121, 'neu': 0.528, 'pos': 0.352, 'compound': 0.4822};352;528;121;0.4822;Positive
134;Thu May 04 18:39:00 +00:00 2023;stoptheshots vaccineinjuries vaccinesideeffects cancer cancerresearch cancerawareness gardasil;2;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;#StopTheShots;#vaccineinjuries;#VaccineSideEffects;#Cancer;#CancerResearch;#cancerawareness;#gardasil;;;;;;;;;;;;;;;;;;1.6541939738277192e+18;;;;;;FALSE;f76378bd;en;4;{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.6597};0.0;577;423;-0.6597;Negative
137;Wed May 10 15:45:00 +00:00 2023;merck state gardasil contains viral dna tested positive hpv dna foundsane vax fda recombinant hpv dna found multiple sample gardasil sanevaxorgsanevaxtofda;0;;;;;;;;;;;;;;;;;0;0;0;60848c1f;4924cffb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.6563245722145997e+18;https://sanevax.org/sane-vax-to-fda-recombinant-hpv-dna-found-in-multiple-samples-of-gardasil/;;;;;FALSE;60848c1f;en;0;{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.5574};153;847;0.0;0.5574;Positive
143;Wed Jun 21 06:23:00 +00:00 2023;gardasil merck vaccineinjuries childrenshealthdefenseorgd;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#gardasil;#Merck;#vaccineinjuries;;;;;;;;;;;;;;;;;;;;;;1.6714033962834043e+18;https://childrenshealthdefense.org/defender/injured-merck-gardasil-hpv-vaccine-case/;;;;;FALSE;c63e8724;en;0;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
144;Sun May 14 08:22:00 +00:00 2023;diane harper lead gardasil researcher fact skepticalraptorcomskeptica;2;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.6576626060714555e+18;http://www.skepticalraptor.com/skepticalraptorblog.php/diane-harper-lead-gardasil-researcher-facts/;;;;;FALSE;885d7d9e;en;2;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
147;Wed Aug 02 01:47:00 +00:00 2023;filed initial patent application lifesaving gardasil vaccine year ago hpvvaccine developed potential eliminate cervicalcancer worldwide read tinyurlcomnrrn;2;33d7ad43;8aac2727;c8f9fa77;;;;;;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;#Gardasil;#hpvvaccine;#cervicalcancer;;;;;;;;;;;;;;;;;;;;;;1.686554324401623e+18;https://tinyurl.com/nr3r84n7;;;;;FALSE;eb71aefa;en;5;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
150;Tue Apr 04 18:41:00 +00:00 2023;another testimony much extremely safe notextremelysafe gardasil hb txlege;5;631ae441;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;#NotExtremelySafe;#Gardasil;#HB989;#txlege;;;;;;;;;;;;;;;;;;;;;1.64332282108117e+18;;;;;;TRUE;0f3e9762;en;10;{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.4927};285;715;0.0;0.4927;Positive
152;Fri Mar 31 15:36:00 +00:00 2023;corvelvas gardasil chemical compositiondrivegooglecomopenidvw;0;;;;;;;;;;;;;;;;;0;0;0;60848c1f;4ce74afe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#GARDASIL;;;;;;;;;;;;;;;;;;;;;;;;1.641826744838799e+18;https://drive.google.com/open?id=1vWln5OD9ySYyjnY_OHM_TkFPxoaRK08K;;;;;FALSE;60848c1f;en;0;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
154;Tue Apr 18 00:26:00 +00:00 2023;start making pharmaceutical company liable killing maiming child gardasil dtap;0;;;;;;;;;;;;;;;;;0;0;0;5dd4da28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Gardasil;#dtap;;;;;;;;;;;;;;;;;;;;;;;1.6481207627866317e+18;;;;;;FALSE;0a6c85c8;en;0;{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.6597};0.0;672;328;-0.6597;Negative
160;Thu Jul 13 19:05:00 +00:00 2023;wart thats hpv human papilloma virus strain cause anogenital throat cervical cancer hpv transmitted human touchthe vaccine work go get hpv hpvvaccine antivax gardasil;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#HPV;#HPVvaccine;#antivax;#gardasil;;;;;;;;;;;;;;;;;;;;;1.6795676244921836e+18;;;;;;FALSE;599c5c07;en;0;{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.6808};0.0;797;203;-0.6808;Negative
161;Wed Aug 02 00:04:00 +00:00 2023;yearold noah foleys untimely death gardasil pipedvideoailrjqenfq via gardasil;0;f6961215;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.6865284507801436e+18;https://piped.video/aILrJQENFq8;;;;;FALSE;888610cb;en;0;{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994};0.0;672;328;-0.5994;Negative
162;Thu May 04 18:36:00 +00:00 2023;hpv vaccinesideeffects vaccineinjuries stoptheshots cancer cancerresearch cancerawareness gardasil;2;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;#HPV;#VaccineSideEffects;#vaccineinjuries;#StopTheShots;#Cancer;#CancerResearch;#cancerawareness;#gardasil;;;;;;;;;;;;;;;;;1.6541932276149002e+18;;;;;;FALSE;f76378bd;en;4;{'neg': 0.386, 'neu': 0.614, 'pos': 0.0, 'compound': -0.6597};0.0;614;386;-0.6597;Negative
165;Wed Aug 16 14:23:00 +00:00 2023;many unvaccinated men infected hpv precisionvaccinationscomma vaccine gardasil cervicalcancer pharmacy hcsm mhealth;0;;;;;;;;;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;#HPV;#vaccine;#Gardasil;#cervicalcancer;#pharmacy;#hcsm;#mHealth;;;;;;;;;;;;;;;;;;1.691818066005447e+18;https://www.precisionvaccinations.com/many-unvaccinated-men-infected-hpv-2023-08-16;;;;;TRUE;c8066041;en;2;{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4939};0.0;775;225;-0.4939;Negative
167;Wed May 10 15:33:00 +00:00 2023;merck state gardasil contains viral dna tested positive hpv dna found sane vax fda recombinant hpv dna found multiple sample gardasil sanevaxorgsanevaxtofda;0;af617236;;;;;;;;;;;;;;;;0;0;1;af617236;4924cffb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.6563216872297226e+18;https://sanevax.org/sane-vax-to-fda-recombinant-hpv-dna-found-in-multiple-samples-of-gardasil/;;;;;FALSE;60848c1f;en;1;{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.5574};146;854;0.0;0.5574;Positive
169;Thu May 18 07:23:00 +00:00 2023;advanced bill would allow practitioner give gardasil shot child young without parental consent knowledge;0;563e6d96;;;;;;;;;;;;;;;;0;0;2;515ae539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.6590973750240625e+18;;;;;;FALSE;ba6d4ff6;en;2;{'neg': 0.101, 'neu': 0.664, 'pos': 0.235, 'compound': 0.3036};235;664;101;0.3036;Positive
175;Tue Apr 04 16:56:00 +00:00 2023;court order merck turn gardasil adverseevent databasesto plaintiff suing pharmaceutical giant injury allegedly caused hpvvaccine childrenshealthdefenseorgd;3;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;#Court;#Merck;#Gardasil;#AdverseEvent;#pharmaceutical;#HPVvaccine;;;;;;;;;;;;;;;;;;;1.643296562607448e+18;https://childrenshealthdefense.org/defender/merck-hpv-gardasil-vaccine-adverse-event-database-court;;;;;FALSE;7b0e78d3;en;4;{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.5994};0.0;741;259;-0.5994;Negative
177;Sun Apr 02 06:43:00 +00:00 2023;hpv bpk wechatipenzzlinkbiocohclu hpv hpv gardasil hpv;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#????;#????;#????;#??;#??;#HPV;#????;#??HPV??;#????;#GARDASIL;#???????;#HPV????;;;;;;;;;;;;;1.6424173690952376e+18;https://linkbio.co/50123051HcLU8;;;;;FALSE;5904fd1b;en;0;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
178;Wed May 10 01:04:00 +00:00 2023;hpv vaccine called gardasil one friend daughter pushed get pediatrician already informed said pediatrician mad stop going particular pediatrician;1;;;;;;;;;;;;;;;;;0;0;1;2591ab66;50732800;f9936ebe;c0bd8dd3;7e7ccffd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;#Gardasil.;;;;;;;;;;;;;;;;;;;;;;;;1.656103000623161e+18;;;;;;FALSE;83d7e626;en;3;{'neg': 0.22, 'neu': 0.65, 'pos': 0.13, 'compound': -0.296};0.13;0.65;0.22;-296;Negative
181;Thu May 18 06:20:00 +00:00 2023;gardasil hpv vaccine another horrible failure;1;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Gardasil;#HPV;;;;;;;;;;;;;;;;;;;;;;;1.6590815966060623e+18;;;;;;FALSE;d8b9a965;en;1;{'neg': 0.63, 'neu': 0.37, 'pos': 0.0, 'compound': -0.7783};0.0;0.37;0.63;-0.7783;Negative
185;Fri Mar 31 01:51:00 +00:00 2023;vaccine hpv crimesagainsthumanity gardasil diedsuddenly;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#vaccines;#HPV;#CrimesAgainstHumanity;#Gardasil;#DiedSuddenly;;;;;;;;;;;;;;;;;;;;1.6416190880438272e+18;;;;;;FALSE;b2c0ff79;en;0;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
186;Tue Apr 04 14:24:00 +00:00 2023;hpvvaccine gardasil injury story share tell rep notextremelysafe vax urge tx higher ed cmte vote hb txlege;6;631ae441;;;;;;;;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;#HPVvaccine;#Gardasil;#NotExtremelySafe;#HB989;#txlege;;;;;;;;;;;;;;;;;;;;1.643258331937624e+18;;;;;;TRUE;6c9ebe87;en;12;{'neg': 0.13, 'neu': 0.651, 'pos': 0.219, 'compound': 0.2263};219;651;0.13;0.2263;Positive
190;Tue Apr 04 13:56:00 +00:00 2023;teamtfvc testimony notextremelysafe gardasil hb txlege;8;;;;;;;;;;;;;;;;;0;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;#TeamTFVC;#NotExtremelySafe;#Gardasil;#HB989;#txlege;;;;;;;;;;;;;;;;;;;;1.643251113049596e+18;;;;;;TRUE;0f3e9762;en;14;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
191;Wed Aug 16 02:36:00 +00:00 2023;gardasilinstagramcomreelctnzsu;2;b0dd47ac;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;#GARDASIL;;;;;;;;;;;;;;;;;;;;;;;;1.6916400047730975e+18;https://www.instagram.com/reel/CtnZ101sUxB/?igshid=MTc4MmM1YmI2Ng==;;;;;FALSE;fbb4a026;en;4;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
194;Thu May 18 00:15:00 +00:00 2023;speaking clown world passed bill assembly health committee allows child young get gardasil shot without consentknowledge momdad clown even brought dog vote bill;0;612dbe1f;563e6d96;;;;;;;;;;;;;;;0;0;0;379ab6cd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.6589896462216397e+18;;;;;;FALSE;ba6d4ff6;en;0;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
196;Tue Apr 04 11:21:00 +00:00 2023;court order merck turn gardasil adverse event database childrens health defense gardasil adverseevents childrenshealthdefenseorgd;1;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;#gardasil;#AdverseEvents;;;;;;;;;;;;;;;;;;;;;;;1.643212069867606e+18;https://childrenshealthdefense.org/defender/merck-hpv-gardasil-vaccine-adverse-event-database-court/;;;;;FALSE;ac2b0611;en;2;{'neg': 0.156, 'neu': 0.75, 'pos': 0.094, 'compound': -0.25};94;0.75;156;-0.25;Negative
208;Tue Apr 04 05:36:00 +00:00 2023;son ended thyroid kidney damage hpv requiring lifetime treatment monitoring safe allnotextremelysafe gardasil hb txlege;5;631ae441;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;#NotExtremelySafe;#Gardasil;#HB989;#txlege;;;;;;;;;;;;;;;;;;;;;1.643125260781273e+18;;;;;;FALSE;fa529124;en;9;{'neg': 0.168, 'neu': 0.681, 'pos': 0.152, 'compound': -0.0772};152;681;168;-0.0772;Negative
210;Tue Apr 04 02:06:00 +00:00 2023;childrenshealthdefenseorgd gardasil vaers vaccineinjuries merck;0;;;;;;;;;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#gardasil;#vaers;#vaccineinjuries;#merck;;;;;;;;;;;;;;;;;;;;;1.643072415579398e+18;https://childrenshealthdefense.org/defender/merck-hpv-gardasil-vaccine-adverse-event-database-court/;;;;;FALSE;42d0195f;en;1;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
213;Tue Apr 04 01:01:00 +00:00 2023;according donna howard there absolutely nothing worry come hpv shot agree sure let know reply notextremelysafe gardasil hb txlege;15;631ae441;;;;;;;;;;;;;;;;0;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;#NotExtremelySafe;#Gardasil;#HB989;#txlege;;;;;;;;;;;;;;;;;;;;;1.6430562028116705e+18;;;;;;TRUE;0f3e9762;en;34;{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.7568};319;681;0.0;0.7568;Positive
214;Mon Mar 27 13:02:00 +00:00 2023;hpv cause cancer reproductive organ however preventable gardasil vaccine gardasil available doctor office also upcoming school immunization event th th grade student information visit nhcgovcomschoolbased;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#HPV;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;1.6403385975082516e+18;https://www.nhcgov.com/702/School-Based-Services;;;;;FALSE;a66cc32d;en;0;{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.6597};0.0;845;155;-0.6597;Negative
215;Mon Mar 27 05:34:00 +00:00 2023;like share cervical fisioterapia neckpain osteopatia cervicalcancer backpain doctor herniadedisco dolor medicina hpv columna wellness cervicalcancerawareness healthcare pain medicine gardasil health cervica;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#cervical;#fisioterapia;#neckpain;#osteopatia;#cervicalcancer;#backpain;#o;#doctor;#herniadedisco;#dolor;#medicina;#hpv;#columna;#wellness;#cervicalcancerawareness;#healthcare;#pain;#medicine;#gardasil;#health;#cervica;;;;1.640225635736879e+18;;;;;;FALSE;2682b4ce;en;0;{'neg': 0.114, 'neu': 0.623, 'pos': 0.263, 'compound': 0.5106};263;623;114;0.5106;Positive
217;Mon Mar 27 05:18:00 +00:00 2023;merck co sued gardasil hpv vaccine deceit bitlyomkfep bitlyomkfep;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Merck;#sued;#Gardasil;#HPV;#vaccine;;;;;;;;;;;;;;;;;;;;1.6402216395424686e+18;https://bit.ly/3oMkfEp;http://bit.ly/3oMkfEp;;;;FALSE;b2d91917;en;0;{'neg': 0.273, 'neu': 0.727, 'pos': 0.0, 'compound': -0.4588};0.0;727;273;-0.4588;Negative
218;Fri Apr 28 20:49:00 +00:00 2023;carolines treatment cervical cancer post gardasil vaccine put menopause never able child egg longer viable read hpv lawsuit merck wisnerbaumcomprescription;3;ac280979;db45a4c3;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.6520524739040092e+18;https://www.wisnerbaum.com/prescription-drugs/gardasil-lawsuit/gardasil-injury-cases/#Caroline;;;;;FALSE;35be2b85;en;5;{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.743};0.0;741;259;-743;Negative
220;Mon Mar 27 05:18:00 +00:00 2023;merck co sued gardasil hpv vaccine deceit bitlyomkfep bitlyomkfep;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Merck;#sued;#Gardasil;#HPV;#vaccine;;;;;;;;;;;;;;;;;;;;1.6402216194853765e+18;https://bit.ly/3oMkfEp;http://bit.ly/3oMkfEp;;;;FALSE;90618d49;en;0;{'neg': 0.273, 'neu': 0.727, 'pos': 0.0, 'compound': -0.4588};0.0;727;273;-0.4588;Negative
221;Wed Apr 26 16:51:00 +00:00 2023;remember folk there vaccine gardasil hpvvaccine;1;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Gardasil;#HPVvaccine;;;;;;;;;;;;;;;;;;;;;;;1.6512678293442232e+18;;;;;;FALSE;cccb7284;en;1;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
228;Thu Apr 06 21:43:00 +00:00 2023;judge overseeing federal gardasil hpv vaccine litigation ordered merck produce entire database gardasil adverse event attorney representing dozen woman men suing company gardasil induced autoimmune condition bitlyzawohc;3;;;;;;;;;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;#Gardasil;#HPV;#Merck;;;;;;;;;;;;;;;;;;;;;;1.6440935570521457e+18;http://bit.ly/3zAwOHc;;;;;FALSE;35be2b85;en;7;{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.6597};0.0;789;211;-0.6597;Negative
229;Sun Apr 16 19:36:00 +00:00 2023;hpv hpvawareness hpvvaccineeducation hpvvirus epochtimes gardasil fda cdc;0;e1eeacef;52ac50b0;62502594;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#hpv;#hpvawareness;#hpvvaccineeducation;#hpvvirus;#epochtimes;#gardasil;#fda;#cdc;;;;;;;;;;;;;;;;;1.647685434024276e+18;;;;;;TRUE;f8319d75;en;0;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
234;Sun Apr 16 19:35:00 +00:00 2023;episode available spotify ninety podcast rbftt hpv hpvawareness hpvvaccineeducation hpvvirus epochtimes gardasil fda cdc;0;bdbc227c;e1eeacef;52ac50b0;62502594;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#spotify;#90;#ninety;#podcast;#rbftt;#hpv;#hpvawareness;#hpvvaccineeducation;#hpvvirus;#epochtimes;#gardasil;#fda;#cdc;;;;;;;;;;;;1.6476852565003507e+18;;;;;;TRUE;f8319d75;en;0;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
242;Sun Apr 16 13:12:00 +00:00 2023;wisner baum fighting young boy girl allege lawsuit sustained debilitating side effect popular hpv shot gardasil call u today free case evaluationvaccineinjury gardasil hpvbitlylvv;2;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;#VaccineInjury;#Gardasil;#HPV;;;;;;;;;;;;;;;;;;;;;;1.6475886763758305e+18;https://bit.ly/423L0VV;;;;;FALSE;35be2b85;en;5;{'neg': 0.149, 'neu': 0.644, 'pos': 0.207, 'compound': 0.4019};207;644;149;0.4019;Positive
251;Sun Jul 23 15:10:00 +00:00 2023;smallsensoryfiberneuropathy pot also associated vaccine asgardasil mercks human papillomavirus hpv vaccinelongvax;0;;;;;;;;;;;;;;;;;0;0;0;b6f52aa5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#SmallSensoryFiberNeuropathy;#POTS;#Merckís;#LongVax;;;;;;;;;;;;;;;;;;;;;1.683132528524231e+18;;;;;;FALSE;125d29b7;en;0;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
252;Mon May 08 23:04:00 +00:00 2023;tragic news sad hear must protectourchildren gardasil vaccinegenocide;0;;;;;;;;;;;;;;;;;0;0;0;4924cffb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;#ProtectOurChildren;#Gardasil;#VaccineGenocide;;;;;;;;;;;;;;;;;;;;;;1.655710311771705e+18;;;;;;FALSE;2a644b8e;en;1;{'neg': 0.504, 'neu': 0.496, 'pos': 0.0, 'compound': -0.7269};0.0;496;504;-0.7269;Negative
253;Mon May 08 22:27:00 +00:00 2023;damn sorry read encephalitis malady came gardasil inoculation ex husband said way rip beautiful girl;13;;;;;;;;;;;;;;;;;0;0;0;4924cffb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.6557008728216535e+18;;;;;;FALSE;f8b5f23f;en;15;{'neg': 0.201, 'neu': 0.603, 'pos': 0.196, 'compound': 0.2263};196;603;201;0.2263;Positive
