""Sat Aug 12 16:43:00 +00:00 2023;""neram"";""Genau so! Habe das Elend von Frauen aller Altersklassen in der Dysplasie-Sprechstunde kennengelernt. Diese Impfung kann auch bereits erkrankten Frauen helfen. #Onkologie #Dysplasie #HPV #GardasilÆ9."";""0"";;;;;;;;;;;;;;;;;""0"";""0"";""0"";""@schleudergefahr"";""@GynsNTalk"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""0"";""#Onkologie"";""#Dysplasie"";""#HPV"";""#GardasilÆ9."";;;;;;;;;;;;;;;;;;;;;""1690403712437518336"";;;;;""https://twitter.com/_neram_/status/1690403712437518336"";""false"";""@_neram_"";""https://pbs.twimg.com/profile_images/1712181213715165184/NY0s7sjf_400x400.jpg"";""https://twitter.com/_neram_""
""Sun Aug 20 15:11:00 +00:00 2023;""Ch.Camille???????? (85) #SoutienAuxAgriculteurs"";""Le dimanche c'est #D, comme #Destitution ???? -?" #MacronDestitution  #NiOubliNiPardon Ni prÈservatifs ni #Gardasil ni wokisme ni LGBTisme ???"RENDEZ LE POGNON !"";""13"";;;;;;;;;;;;;;;;;""0"";""1"";""1"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""6"";""#D,"";""#Destitution"";""#MacronDestitution"";""#NiOubliNiPardon"";""#Gardasil"";;;;;;;;;;;;;;;;;;;;""1693279617707339931"";;;;;""https://twitter.com/AHcCamille/status/1693279617707339931"";""false"";""@AHcCamille"";""https://pbs.twimg.com/profile_images/1751673990467190784/SsvsbRfM_400x400.jpg"";""https://twitter.com/AHcCamille""
""Thu Aug 10 18:12:00 +00:00 2023;""Maren31??????"";""#propagande!! #Vaccination #gardasil"";""0"";;;;;;;;;;;;;;;;;""0"";""0"";""0"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""0"";""#propagande!!"";""#Vaccination"";""#gardasil"";;;;;;;;;;;;;;;;;;;;;;""1689701346520248320"";;;;;""https://twitter.com/Maren31_Uhl/status/1689701346520248320"";""false"";""@Maren31_Uhl"";""https://pbs.twimg.com/profile_images/1341337284826771458/OcsSKXh5_400x400.jpg"";""https://twitter.com/Maren31_Uhl""
""Sat May 20 19:20:00 +00:00 2023;""Wisner Baum"";""Learn about Gardasil HPV Vaccine Multidistrict Litigation (MDL) in interview w Gardasil injury atty & Wisner Baum senior partner Bijan Esfandiari. HPV vaccine injury cases can move forward for ppl who were hurt after the shot(s)."#Gardasil #HPV #Vaccine"piped.video/watch?v=OkWCf0xJÖ"";""3"";;;;;;;;;;;;;;;;;""0"";""1"";""0"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""5"";""#Gardasil"";""#HPV"";""#Vaccine"";;;;;;;;;;;;;;;;;;;;;;""1660002453998190593"";""https://piped.video/watch?v=OkWCf0xJW0c"";;;;""https://twitter.com/WisnerBaum/status/1660002453998190593"";""false"";""@WisnerBaum"";""https://pbs.twimg.com/profile_images/1613039693817589761/jLaVv9q7_400x400.jpg"";""https://twitter.com/WisnerBaum""
""Tue May 16 22:21:00 +00:00 2023;""Luis Coello"";""VACUNAS Y VIRUS DEL PAPILOMA HUMANO. MARTES 16 DE MAYO DE 2023.""@lahoraecuador #virusdepapilomahumano #gardasil #cervarix #MedicinaInterna #MedTwitter #Saludparalavida #ginecologia"";""0"";""@lahoraecuador"";;;;;;;;;;;;;;;;""0"";""0"";""0"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""0"";""#virusdepapilomahumano"";""#gardasil"";""#cervarix"";""#MedicinaInterna"";""#MedTwitter"";""#Saludparalavida"";""#ginecologia"";;;;;;;;;;;;;;;;;;""1658598524181725184"";;;;;""https://twitter.com/LuisCoello1418/status/1658598524181725184"";""false"";""@LuisCoello1418"";""https://pbs.twimg.com/profile_images/1581473555291815936/U4ads6gG_400x400.jpg"";""https://twitter.com/LuisCoello1418""
""Thu Aug 10 06:07:00 +00:00 2023;""Alex A2.0?????? SoutienAuxAgriculteurs"";""#Gardasil poiZon"";""4"";;;;;;;;;;;;;;;;;""0"";""0"";""0"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""0"";""#Gardasil"";;;;;;;;;;;;;;;;;;;;;;;;""1689518840646963200"";;;;;""https://twitter.com/Hell3June/status/1689518840646963200"";""false"";""@Hell3June"";""https://pbs.twimg.com/profile_images/1680955298104725504/IBJpDEqK_400x400.jpg"";""https://twitter.com/Hell3June""
""Sun Aug 20 13:27:00 +00:00 2023;""Ac Griffon ?????????"";""#Gardasil #HPV regardez les ÈlÈments du procËs contre Merx aux US"";""0"";;;;;;;;;;;;;;;;;""0"";""0"";""0"";""@joyPC37"";""@DrFranckClarot"";""@SantePubliqueFr"";""@AlerteSanitaire"";""@SanteCanVaccins"";""@ordre_medecins"";""@HAS_sante"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""0"";""#Gardasil"";""#HPV"";;;;;;;;;;;;;;;;;;;;;;;""1693253363859644790"";;;;;""https://twitter.com/AcGriffon/status/1693253363859644790"";""false"";""@AcGriffon"";""https://pbs.twimg.com/profile_images/1606233964091527171/P2-Ngh4h_400x400.jpg"";""https://twitter.com/AcGriffon""
""Sat Aug 12 14:25:00 +00:00 2023;""GrÈgori Christian"";""Danger pour les ados ‡ la rentrÈe 2023! Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil) vaccin dangereux et inefficace qui favorise de nouveaux virus pgibertie.com/2023/07/13/danÖ via @GibertiePatrice"";""1"";""@GibertiePatrice"";;;;;;;;;;;;;;;;""0"";""0"";""0"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""1"";""#papillomavirus"";;;;;;;;;;;;;;;;;;;;;;;;""1690368947223171072"";""https://pgibertie.com/2023/07/13/danger-pour-les-ados-a-la-rentree-2023-le-gouvernement-pousse-a-la-vaccination-contre-le-papillomavirus-gardasil-vaccin-dangereux-et-inefficace-qui-favorise-de-nouveaux-virus/"";;;;""https://twitter.com/Peck84200/status/1690368947223171072"";""false"";""@Peck84200"";""https://pbs.twimg.com/profile_images/845896385488662529/Ts0BsCZN_400x400.jpg"";""https://twitter.com/Peck84200""
""Fri Jul 21 22:14:00 +00:00 2023;""PoisonHeart"";""#HPV #AdverseEvents #vaccinations #Gardasil #Merck""childrenshealthdefense.eu/vaÖ"";""0"";;;;;;;;;;;;;;;;;""0"";""0"";""0"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""0"";""#HPV"";""#AdverseEvents"";""#vaccinations"";""#Gardasil"";""#Merck"";;;;;;;;;;;;;;;;;;;;""1682514380733272064"";""https://childrenshealthdefense.eu/vaccine-safety/one-shot-destroyed-my-life-woman-injured-by-mercks-hpv-vaccine-speaks-out/"";;;;""https://twitter.com/ArnCerv/status/1682514380733272064"";""false"";""@ArnCerv"";""https://pbs.twimg.com/profile_images/1678851272953274370/RBSEqz4U_400x400.png"";""https://twitter.com/ArnCerv""
""Tue May 16 20:46:00 +00:00 2023;""Daniel pilotte de la Barolliere ????????????????"";""Papillomavirus : les mensonges de la propagande ?? #Gardasil face ‡ la rÈalitÈ scientifique resistancerepublicaine.com/2Ö"";""2"";;;;;;;;;;;;;;;;;""0"";""0"";""0"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""3"";""#Gardasil"";;;;;;;;;;;;;;;;;;;;;;;;""1658574733087059970"";""https://resistancerepublicaine.com/2023/05/16/papillomavirus-les-mensonges-de-la-propagande-gardasil-face-a-la-realite-scientifique/"";;;;""https://twitter.com/Pilotte_daniel/status/1658574733087059970"";""true"";""@Pilotte_daniel"";""https://pbs.twimg.com/profile_images/1492611208989523971/SbCzgNFn_400x400.jpg"";""https://twitter.com/Pilotte_daniel""
